Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank_f__Lachnospiraceae,s__mouse_gut_metagenome_g__norank,OTU730,0.036075036,0.514069264,0.040584416,1.884920635,0.347222222,0.514069264,0.031565657,0.054112554,0.342712843,0.297619048,0.924422799,3.706709957,1.659451659,6.240981241,3.192640693
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,OTU164,0,0.248015873,0.022546898,0.00450938,0.09018759,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__unclassified_f__Oscillospiraceae,s__unclassified_f__Oscillospiraceae,OTU647,0,0,0,0,0.009018759,0,0,0,0,0,0,0,0.009018759,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__unclassified_f__Oscillospiraceae,s__unclassified_f__Oscillospiraceae,OTU729,0.009018759,0.022546898,0,0,0,0.00450938,0.013528139,0.009018759,0.00450938,0.013528139,0,0.031565657,0.013528139,0.018037518,0.018037518
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_UCG-006,s__Clostridium_sp._ASF502,OTU611,0,0.00450938,0,0.009018759,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__uncultured_bacterium_g__Alistipes,OTU583,0.036075036,0.027056277,0.018037518,0.018037518,0.022546898,0,0.022546898,0.013528139,0.045093795,0.342712843,0.09469697,0.081168831,0.315656566,0.559163059,0.112734488
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__norank_f__Ruminococcaceae,s__unclassified_g__norank_f__Ruminococcaceae,OTU498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__norank_f__Ruminococcaceae,s__unclassified_g__norank_f__Ruminococcaceae,OTU169,0,0,0,0,0.009018759,0.027056277,0.009018759,0,0,0.009018759,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,OTU656,0,0,0,0,0,0,0,0,0,0,0,0,0.00450938,0,0
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__norank_o__Rhodospirillales,g__norank_f__norank_o__Rhodospirillales,s__unidentified_rumen_bacterium_RF32,OTU200,0,0,0,0.00450938,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU592,0,0.009018759,0.00450938,0.013528139,0.027056277,0.225468975,0.108225108,0.081168831,0.243506494,0,0,0.018037518,0.027056277,0.009018759,0.013528139
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU235,0,0,0,0,0,0.288600289,0.193903319,0.049603175,0,0,0,0,0.00450938,0,0.018037518
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia_muciniphila,OTU382,0,0,0,0,0,0.162337662,0.653860029,1.217532468,8.468614719,2.281746032,0.022546898,0.031565657,0.374278499,0.054112554,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__norank_f__Erysipelotrichaceae,s__unclassified_g__norank_f__Erysipelotrichaceae,OTU36,0,0.00450938,0.031565657,0.013528139,0.013528139,0,0,0.18488456,0.031565657,0,0,0.00450938,0.036075036,0,0.072150072
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Harryflintia,s__uncultured_bacterium_g__Harryflintia,OTU677,0,0.013528139,0.00450938,0,0.00450938,0,0,0,0,0,0.00450938,0,0.018037518,0.00450938,0.013528139
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptococcales,f__Peptococcaceae,g__norank_f__Peptococcaceae,s__unclassified_g__norank_f__Peptococcaceae,OTU76,0,0.009018759,0.009018759,0,0.009018759,0.00450938,0.009018759,0,0,0,0,0.00450938,0,0.009018759,0.00450938
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU237,0.009018759,0.031565657,0.013528139,0.045093795,0.027056277,0.072150072,0.009018759,0,0.022546898,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,g__Eubacterium_brachy_group,s__uncultured_bacterium_g__Eubacterium_brachy_group,OTU10,0.00450938,0.013528139,0.00450938,0.013528139,0.009018759,0,0,0,0,0,0,0.009018759,0,0,0.022546898
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__uncultured_bacterium_g__Bacteroides,OTU444,0,0,0,0,0,0,0,0,0,0,0.00450938,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU732,0.045093795,0.00450938,0.018037518,0.013528139,0.031565657,0.045093795,0.099206349,0.392316017,0.284090909,0.202922078,0.081168831,0.153318903,0.189393939,0.076659452,0.193903319
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,OTU14,0.022546898,0.00450938,0.018037518,0.009018759,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__unclassified_g__Erysipelatoclostridium,OTU484,0,0,0,0,0,0,0,0,0,0.00450938,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU737,0,0,0,0,0,0,0,0.009018759,0,0.022546898,0.771103896,0.081168831,0.112734488,0.252525253,0.081168831
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU87,0.027056277,0.058621934,0.013528139,0.027056277,0.049603175,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank_f__Lachnospiraceae,s__unclassified_g__norank_f__Lachnospiraceae,OTU17,0.360750361,0.257034632,0.202922078,0.067640693,0.09469697,0,0,0,0,0,0,0.126262626,0.009018759,0.189393939,0.031565657
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Anaerotruncus,s__unclassified_g__Anaerotruncus,OTU564,0,0,0,0.009018759,0,0,0,0,0,0,0,0.009018759,0.00450938,0,0.013528139
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_Bacteroidales_bacterium_g__norank_f__Muribaculaceae,OTU30,0.067640693,0.045093795,0.063131313,0.081168831,0.108225108,0,0,0,0,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__unclassified_g__Bacteroides,OTU685,0,0,0,0,0,0,0,0,0,0,0,0,0.009018759,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,s__uncultured_bacterium_g__GCA-900066575,OTU365,0.112734488,0.09018759,0.058621934,0.040584416,0.108225108,0.013528139,0,0.00450938,0.067640693,0.049603175,0.009018759,0.067640693,0.063131313,0.013528139,0.054112554
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank_o__Clostridia_UCG-014,g__norank_f__norank_o__Clostridia_UCG-014,s__uncultured_bacterium_g__norank_f__norank_o__Clostridia_UCG-014,OTU528,0,0.058621934,0,0,0.022546898,0.018037518,0.099206349,0,0,0,0.040584416,0.022546898,0.117243867,0.00450938,0.009018759
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank_f__Muribaculaceae,s__uncultured_bacterium_g__norank_f__Muribaculaceae,OTU233,0.009018759,0,0.027056277,0.009018759,0.009018759,0.049603175,0.031565657,0.054112554,0.270562771,0,0.022546898,0.117243867,0.049603175,0.036075036,0.067640693
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__norank_f__Eggerthellaceae,s__uncultured_bacterium_g__norank_f__Eggerthellaceae,OTU367,0,0,0,0,0,0,0,0,0.00450938,0,0,0,0,0,0
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,OTU150,0.022546898,0.027056277,0.013528139,0.00450938,0.081168831,0,0,0,0,0,0,0,0,0,0
